Region_ID,ID_Path,Region,Abbr,General_Region,R,G,B
1,/997/8/343/1129/1097/467/331/557/1/,"Tuberomammillary nucleus, ventral part",TMv,Hypothalamus__Medial_zone,255,76,62
2,/997/8/567/688/695/315/453/322/345/2/,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,Isocortex__Somatosensory__Mouth,24,128,100
5,/997/1009/983/784/6/,internal capsule,int,Fiber_tracts__lateral_forebrain_bundle_system,204,204,204
6,/997/8/343/1065/771/1132/7/,Principal sensory nucleus of the trigeminal,PSV,Pons__Sensory_related,255,174,111
8,/997/8/567/688/695/315/453/322/361/9/,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,Isocortex__Somatosensory__Trunk,24,128,100
9,/997/8/343/313/323/294/10/,"Superior colliculus, motor related, intermediate gray layer",SCig,Midbrain__Motor_related,255,144,255
11,/997/8/343/313/348/165/12/,Interfascicular nucleus raphe,IF,Midbrain__Behavioral_state_related,255,166,255
13,/997/8/343/1129/549/856/571/15/,Parataenial nucleus,PT,Thalamus__Polymodal_association_cortex_related,255,144,159
15,/997/8/343/313/323/294/17/,"Superior colliculus, motor related, intermediate white layer",SCiw,Midbrain__Motor_related,255,144,255
17,/997/8/567/688/695/1089/1080/19/,Induseum griseum,IG,Hippocampal,126,208,75
18,/997/8/567/688/695/1089/822/909/918/20/,"Entorhinal area, lateral part, layer 2",ENTl2,Retrohippocampal__Entorhinal__Lateral,50,184,37
21,/997/8/567/623/477/278/23/,Anterior amygdalar area,AAA,Striatum-like__amygdalar_nuclei,128,192,226
23,/997/8/343/313/323/294/26/,"Superior colliculus, motor related, deep gray layer",SCdg,Midbrain__Motor_related,255,144,255
24,/997/8/343/1129/549/856/1014/27/,Intergeniculate leaflet of the lateral geniculate complex,IGL,Thalamus__Polymodal_association_cortex_related,255,144,159
25,/997/8/567/688/695/1089/822/909/918/28/,"Entorhinal area, lateral part, layer 6a",ENTl6a,Retrohippocampal__Entorhinal__Lateral,50,184,37
27,/997/8/343/1129/1097/157/30/,"Periventricular hypothalamic nucleus, anterior part",PVa,Hypothalamus__Periventricular_zone,255,93,80
29,/997/8/567/688/695/315/669/385/33/,"Primary visual area, layer 6a",VISp6a,Isocortex__Visual__Primary,8,133,140
31,/997/8/343/313/323/35/,Oculomotor nucleus,III,Midbrain__Motor_related,255,144,255
32,/997/8/567/688/695/315/1057/36/,"Gustatory areas, layer 1",GU1,Isocortex__Gustatory,0,156,117
